profile,question,expected_chunk_id,expected_title,first_relevant_rank,reciprocal_rank,average_precision,latency_ms,relevant_total,top1_chunk_id,top1_title,top1_score,unique_pages_at_max_k,best_relevant_score,best_non_relevant_score,score_margin,hit@1,precision@1,recall@1,ndcg@1,relevant_chunks@1,unique_pages@1,hit@3,precision@3,recall@3,ndcg@3,relevant_chunks@3,unique_pages@3,hit@5,precision@5,recall@5,ndcg@5,relevant_chunks@5,unique_pages@5,hit@10,precision@10,recall@10,ndcg@10,relevant_chunks@10,unique_pages@10,hit@20,precision@20,recall@20,ndcg@20,relevant_chunks@20,unique_pages@20
dense,Как проставляется дата в отчёте ведомости №39 и что учитывается в графе 2 «всего» по посещениям?,518,Отчеты и работа с ними: №39 - Ведомость учета врачебных посещений в амбулаторно-поликлинических учреждениях на дому,1,1.0,1.0,821.8592930000028,1,518,Отчеты и работа с ними: №39 - Ведомость учета врачебных посещений в амбулаторно-поликлинических учреждениях на дому,0.633939,2,0.633939,0.5939892,0.039949800000000035,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,1,1.0,0.1,1.0,1.0,1,1,1.0,0.05,1.0,1.0,1,2
dense,Какие действия на нижней панели доступны после заполнения направления на санаторно-курортное лечение и чем отличаются «Сохранить» и «Подписать и отправить»?,617,"Правильное оформление и отправка СЭМД: СЭМД (151)""Справка для получения путевки на санаторно-курортное лечение""",15,0.06666666666666667,0.06666666666666667,826.1706760000038,1,614,"Правильное оформление и отправка СЭМД: СЭМД (151)""Справка для получения путевки на санаторно-курортное лечение""",0.60564256,7,0.5292417,0.60564256,-0.07640086000000001,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0,4,1.0,0.05,1.0,0.25,1,7
dense,Как перенести в текущую медицинскую запись данные из предыдущей записи того же или предыдущего случая лечения в шаблоне 2.0?,28,WEB Поликлиника: Врач поликлиники,1,1.0,1.0,915.427691000005,1,28,Поликлиника: Врач поликлиники,0.7076657,10,0.7076657,0.6391274,0.06853829999999994,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,2,1.0,0.1,1.0,1.0,1,5,1.0,0.05,1.0,1.0,1,10
dense,При каких условиях по основному диагнозу и статусу направления можно сформировать СЭМД «Протокол инструментального исследования» и как отправить его через «Печать/ЭМД»?,575,"Правильное оформление и отправка СЭМД: СЭМД (110)""Протокол инструментального исследования""",2,0.5,0.5,856.4456719999924,1,566,"Правильное оформление и отправка СЭМД: СЭМД (110)""Протокол инструментального исследования""",0.83054304,5,0.8259983,0.83054304,-0.004544740000000047,0.0,0.0,0.0,0.0,0,1,1.0,0.3333333333333333,1.0,0.6309297535714575,1,1,1.0,0.2,1.0,0.6309297535714575,1,1,1.0,0.1,1.0,0.6309297535714575,1,3,1.0,0.05,1.0,0.6309297535714575,1,5
dense,"Как заполнить обязательные поля «Телефон» и «E-mail», если представитель отказывается сообщать номер или электронную почту?",204,WEB Регистратура: Создание и редактирование МКАБ,1,1.0,1.0,870.2989159999959,1,204,Регистратура: Создание и редактирование МКАБ,0.63084245,14,0.63084245,0.38310772,0.24773473000000007,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,3,1.0,0.2,1.0,1.0,1,5,1.0,0.1,1.0,1.0,1,9,1.0,0.05,1.0,1.0,1,14
dense,Какие поля описываются на вкладке регистрации поступления тела в патолого-анатомическое отделение?,734,"Правильное оформление и отправка СЭМД: СЭМД (242)""Протокол патолого-анатомического вскрытия (CDA) Редакция 2""",1,1.0,1.0,832.5983699999995,1,734,"Правильное оформление и отправка СЭМД: СЭМД (242)""Протокол патолого-анатомического вскрытия (CDA) Редакция 2""",0.68056536,9,0.68056536,0.66845864,0.012106720000000015,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,3,1.0,0.1,1.0,1.0,1,6,1.0,0.05,1.0,1.0,1,9
dense,Где можно ознакомиться с обязательными требованиями и порядком формирования СЭМД медицинского заключения по результатам медосмотра работника для подсистемы ЭЛМК?,666,"Правильное оформление и отправка СЭМД: СЭМД (194)""Медицинское заключение по результатам предварительного (периодического) медицинского осмотра (обследования)""",4,0.25,0.25,851.3522410000007,1,730,"Правильное оформление и отправка СЭМД: СЭМД (230)""Медицинское заключение по результатам медицинского осмотра работника для предоставления в подсистему ЭЛМК""",0.7632445,3,0.7432349,0.7632445,-0.02000959999999996,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,1.0,0.2,1.0,0.43067655807339306,1,2,1.0,0.1,1.0,0.43067655807339306,1,2,1.0,0.05,1.0,0.43067655807339306,1,3
dense,Какие условия по стадированию ЗНО и медицинским записям должны быть выполнены перед формированием и отправкой СЭМД «Протокол на случай выявления у больного запущенной формы ЗНО»?,719,"Правильное оформление и отправка СЭМД: СЭМД (211)""Протокол на случай выявления у больного запущенной формы ЗНО""",2,0.5,0.5,987.2015269999963,1,718,"Правильное оформление и отправка СЭМД: СЭМД (211)""Протокол на случай выявления у больного запущенной формы ЗНО""",0.7563751,10,0.7240265,0.7563751,-0.03234859999999995,0.0,0.0,0.0,0.0,0,1,1.0,0.3333333333333333,1.0,0.6309297535714575,1,2,1.0,0.2,1.0,0.6309297535714575,1,4,1.0,0.1,1.0,0.6309297535714575,1,5,1.0,0.05,1.0,0.6309297535714575,1,10
dense,Как из МКСБ или случая лечения перейти к решению врачебной комиссии и сформировать СЭМД «Выписка из протокола врачебной комиссии»?,430,Врачебная комиссия от направления до решения,1,1.0,1.0,847.7172690000003,1,430,Врачебная комиссия от направления до решения,0.77059954,10,0.77059954,0.7214937,0.049105839999999956,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,4,1.0,0.1,1.0,1.0,1,7,1.0,0.05,1.0,1.0,1,10
dense,"Какая роль нужна для оформления родового сертификата, как создать договор со СФР и с какой недели беременности выдаётся электронный родовой сертификат?",226,WEB Родовспоможение: Родовые сертификаты,1,1.0,1.0,844.7118090000032,1,226,Родовспоможение: Родовые сертификаты,0.7520018,1,0.7520018,0.623216,0.12878580000000006,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,1,1.0,0.1,1.0,1.0,1,1,1.0,0.05,1.0,1.0,1,1
dense,Как через журнал направлений внести результаты исследования с помощью шаблона «Протокол инструментального исследования» и отправить его в региональное хранилище?,460,Лабораторно-диагностические исследования,1,1.0,1.0,824.7543140000033,1,460,Лабораторно-диагностические исследования,0.6927582,7,0.6927582,0.61309695,0.07966125000000002,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,2,1.0,0.1,1.0,1.0,1,3,1.0,0.05,1.0,1.0,1,7
dense,Что требуется выполнить прежде чем начать работу с выпиской льготных и коммерческих рецептов?,604,"Правильное оформление и отправка СЭМД: СЭМД (148)""Рецепт на лекарственный препарат (CDA)""",1,1.0,1.0,807.1894670000006,1,604,"Правильное оформление и отправка СЭМД: СЭМД (148)""Рецепт на лекарственный препарат (CDA)""",0.5700943,7,0.5700943,0.567129,0.0029653000000000596,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,3,1.0,0.1,1.0,1.0,1,3,1.0,0.05,1.0,1.0,1,7
dense,Как в стационаре создать направление на исследования и чем отличается сохранение черновика от подписания направления?,285,WEB Стационар: Врач стационара,1,1.0,1.0,870.3245159999966,1,285,Стационар: Врач стационара,0.62402385,12,0.62402385,0.6194502,0.004573650000000096,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,3,1.0,0.2,1.0,1.0,1,4,1.0,0.1,1.0,1.0,1,7,1.0,0.05,1.0,1.0,1,12
dense,Как формируются поля «Номер карты» и «Дата карты» при работе с картой профилактических осмотров (ПФО)?,829,Работа кабинета ПФО,1,1.0,1.0,823.5482940000054,1,829,Работа кабинета ПФО,0.6312019,9,0.6312019,0.617534,0.013667899999999955,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,2,1.0,0.1,1.0,1.0,1,3,1.0,0.05,1.0,1.0,1,9
dense,Как врачу в личном кабинете открыть карту медицинских обследований и при каком проценте выполнения комиссии терапевт может дать заключение по диспансеризации?,7,WEB Диспансеризация,2,0.5,0.5,820.6232710000023,1,9,Диспансеризация,0.6587317,9,0.6477145,0.6587317,-0.01101720000000006,0.0,0.0,0.0,0.0,0,1,1.0,0.3333333333333333,1.0,0.6309297535714575,1,1,1.0,0.2,1.0,0.6309297535714575,1,3,1.0,0.1,1.0,0.6309297535714575,1,5,1.0,0.05,1.0,0.6309297535714575,1,9
dense,Как получить печатную форму медицинской справки о состоянии здоровья ребёнка для организации отдыха детей?,778,"Правильное оформление и отправка СЭМД: СЭМД (87)""Медицинская справка о состоянии здоровья ребенка отъезжающего в организацию отдыха детей и их оздоровления""""",1,1.0,1.0,809.7903560000077,1,778,"Правильное оформление и отправка СЭМД: СЭМД (87)""Медицинская справка о состоянии здоровья ребенка отъезжающего в организацию отдыха детей и их оздоровления""""",0.72259074,7,0.72259074,0.70825505,0.014335690000000012,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,1,1.0,0.1,1.0,1.0,1,5,1.0,0.05,1.0,1.0,1,7
dense,Что происходит после заполнения карты ПФО при нажатии «Предварительный просмотр» и какие дальнейшие действия с документом доступны после подписания?,826,Работа кабинета ПФО,1,1.0,1.0,822.3491490000043,1,826,Работа кабинета ПФО,0.72771597,7,0.72771597,0.67344606,0.05426991000000003,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,1,1.0,0.1,1.0,1.0,1,1,1.0,0.05,1.0,1.0,1,7
dense,Как в синей версии МКАБ добавить участки прикрепления пациента?,164,WEB Регистратура: Работа с МКАБ в синей версии,2,0.5,0.5,931.8144169999982,1,177,Регистратура: Работа с МКАБ в синей версии,0.84885347,2,0.8479806,0.84885347,-0.0008728700000000256,0.0,0.0,0.0,0.0,0,1,1.0,0.3333333333333333,1.0,0.6309297535714575,1,2,1.0,0.2,1.0,0.6309297535714575,1,2,1.0,0.1,1.0,0.6309297535714575,1,2,1.0,0.05,1.0,0.6309297535714575,1,2
dense,Какие признаки обязательно выставить для формирования СЭМД талона №2 и при каких значениях поля «Категория льготы» становится доступен признак «Направлен к месту лечения»?,715,"Правильное оформление и отправка СЭМД: СЭМД (210)""Талон № 2 на получение специальных талонов (именных направлений) на проезд к месту лечения для получения медицинской помощи""",1,1.0,1.0,828.6130940000049,1,715,"Правильное оформление и отправка СЭМД: СЭМД (210)""Талон № 2 на получение специальных талонов (именных направлений) на проезд к месту лечения для получения медицинской помощи""",0.7610778,5,0.7610778,0.7160833,0.04499450000000005,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,2,1.0,0.1,1.0,1.0,1,3,1.0,0.05,1.0,1.0,1,5
dense,Какими способами можно оформить согласие пациента при госпитализации и как добавить согласие через раздел «Согласия»?,349,WEB Стационар: Приемный покой,1,1.0,1.0,824.9153130000053,1,349,Стационар: Приемный покой,0.7405964,12,0.7405964,0.60754526,0.13305114000000007,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,4,1.0,0.1,1.0,1.0,1,7,1.0,0.05,1.0,1.0,1,12
dense,Как начать редактирование персональных данных пациента и сколько основных подразделов доступно при редактировании?,160,WEB Регистратура: Работа с МКАБ в синей версии,1,1.0,1.0,828.7582700000087,1,160,Регистратура: Работа с МКАБ в синей версии,0.6824042,11,0.6824042,0.68090534,0.0014988599999999908,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,4,1.0,0.1,1.0,1.0,1,8,1.0,0.05,1.0,1.0,1,11
dense,Кто и при каких условиях может заполнять раздел «Степени и факторы риска» в карте беременной и как связаны между собой анкеты шкалы Радзинского?,221,WEB Родовспоможение: Карта беременной,1,1.0,1.0,901.7775039999947,1,221,Родовспоможение: Карта беременной,0.7840173,6,0.7840173,0.56748784,0.21652946000000006,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,1,1.0,0.1,1.0,1.0,1,3,1.0,0.05,1.0,1.0,1,6
dense,При каком условии относительно ТАП доступно формирование СЭМД и как отправить в РЭМД эпикриз по законченному амбулаторному случаю?,782,"Правильное оформление и отправка СЭМД: СЭМД (92)""Эпикриз по законченному случаю амбулаторный""",2,0.5,0.5,893.4379500000063,1,781,"Правильное оформление и отправка СЭМД: СЭМД (92)""Эпикриз по законченному случаю амбулаторный""",0.7220559,13,0.70712006,0.7220559,-0.014935839999999923,0.0,0.0,0.0,0.0,0,1,1.0,0.3333333333333333,1.0,0.6309297535714575,1,2,1.0,0.2,1.0,0.6309297535714575,1,4,1.0,0.1,1.0,0.6309297535714575,1,7,1.0,0.05,1.0,0.6309297535714575,1,13
dense,"Как в блоке «Поступление» меняется перечень обязательных полей в зависимости от типа госпитализации (планово, экстренно, неотложно)?",345,WEB Стационар: Приемный покой,1,1.0,1.0,826.4829780000014,1,345,Стационар: Приемный покой,0.70719385,10,0.70719385,0.6046571,0.10253675000000007,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,3,1.0,0.2,1.0,1.0,1,5,1.0,0.1,1.0,1.0,1,6,1.0,0.05,1.0,1.0,1,10
dense,Из каких вкладок состоит окно «Листок нетрудоспособности» и для чего используется кнопка получения пула номеров из ФСС при оформлении первичного ЛН?,95,WEB Поликлиника: Лист нетрудоспособности,1,1.0,1.0,819.9285240000052,1,95,Поликлиника: Лист нетрудоспособности,0.6815678,10,0.6815678,0.64720917,0.034358629999999946,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,1,1.0,0.1,1.0,1.0,1,2,1.0,0.05,1.0,1.0,1,10
dense,Где в системе находятся личные настройки пользователя и как добавить или сбросить настройку до значения по умолчанию для врача?,390,Администрирование МИС: Отчеты настройки и прочее,1,1.0,1.0,795.6969530000038,1,390,Администрирование МИС: Отчеты настройки и прочее,0.70610034,11,0.70610034,0.62708837,0.07901197000000004,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,2,1.0,0.1,1.0,1.0,1,5,1.0,0.05,1.0,1.0,1,11
dense,Какие сведения отображаются во вкладке листков нетрудоспособности в ТАП/МКСБ и как создать новый электронный листок нетрудоспособности?,100,WEB Поликлиника: Лист нетрудоспособности,1,1.0,1.0,810.4739010000088,1,100,Поликлиника: Лист нетрудоспособности,0.7194303,6,0.7194303,0.6956758,0.02375450000000001,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,1,1.0,0.1,1.0,1.0,1,1,1.0,0.05,1.0,1.0,1,6
